time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-27T11:05:35.320Z,61.6507,-149.7943,55.3,1,ml,,,,0.36,ak,ak019cepomav,2019-09-27T11:14:27.975Z,"2km NNE of Houston, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-09-27T11:03:52.443Z,68.9235,-146.7033,0,2,ml,,,,0.62,ak,ak019cepo82q,2019-09-27T11:07:06.059Z,"100km NNW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-09-27T11:00:06.620Z,35.6198333,-117.4705,9.73,1.3,ml,22,61,0.02708,0.16,ci,ci39096624,2019-09-27T11:03:53.410Z,"18km SSW of Searles Valley, CA",earthquake,0.3,0.46,0.202,19,automatic,ci,ci
2019-09-27T10:58:29.213Z,37.8918,88.9886,10,5,mb,,81,9.315,1.02,us,us70005md4,2019-09-27T11:20:56.040Z,"Southern Xinjiang, China",earthquake,8.6,1.9,0.05,129,reviewed,us,us
2019-09-27T10:53:00.207Z,69.6484,-144.2553,8.8,1.9,ml,,,,0.99,ak,ak019cepdeck,2019-09-27T10:56:23.846Z,"59km SSW of Kaktovik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-09-27T10:44:08.574Z,60.0298,-140.6822,11.1,1.4,ml,,,,0.61,ak,ak019cepbhli,2019-09-27T10:48:42.071Z,"75km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-09-27T10:43:48.440Z,37.6478348,-118.9514999,5.18,0.83,md,7,144,0.02042,0.02,nc,nc73281840,2019-09-27T10:52:01.785Z,"3km ENE of Mammoth Lakes, CA",earthquake,1.06,1.93,0.15,7,automatic,nc,nc
2019-09-27T10:38:33.090Z,19.1583328,-155.4570007,35.3,1.86,md,43,172,0.09677,0.12,hv,hv71152616,2019-09-27T10:41:50.090Z,"5km SSE of Pahala, Hawaii",earthquake,0.63,0.74,0.2,3,automatic,hv,hv
2019-09-27T10:36:46.190Z,36.1396667,-118.0208333,0.64,1.47,ml,19,83,0.1362,0.18,ci,ci39096616,2019-09-27T10:40:16.286Z,"12km NNW of Coso Junction, CA",earthquake,0.29,0.66,0.2,20,automatic,ci,ci
2019-09-27T10:33:57.920Z,35.534,-118.1411667,4.64,1.53,ml,35,56,0.002717,0.15,ci,ci39096608,2019-09-27T10:44:57.920Z,"31km ESE of Lake Isabella, CA",earthquake,0.21,0.41,0.179,26,automatic,ci,ci
2019-09-27T10:31:15.340Z,38.8025017,-122.7558365,0.6,0.77,md,9,76,0.02027,0.03,nc,nc73281825,2019-09-27T10:43:03.732Z,"3km N of The Geysers, CA",earthquake,0.3,1.32,0.16,2,automatic,nc,nc
2019-09-27T10:30:40.780Z,33.0501667,-116.4663333,6.96,0.86,ml,26,132,0.1973,0.19,ci,ci39096600,2019-09-27T10:34:24.740Z,"13km ESE of Julian, CA",earthquake,0.43,1.48,0.139,16,automatic,ci,ci
2019-09-27T10:29:20.750Z,38.7999992,-122.7583313,-0.19,1.58,md,15,55,0.02192,0.02,nc,nc73281820,2019-09-27T11:43:02.775Z,"2km N of The Geysers, CA",earthquake,0.18,0.6,0.36,5,automatic,nc,nc
2019-09-27T10:29:14.936Z,57.9441,-156.1734,134.3,2,ml,,,,0.63,ak,ak019cep8aal,2019-09-27T10:32:48.710Z,"87km SSE of King Salmon, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-09-27T10:28:45.090Z,38.8008347,-122.7580032,0.56,2.34,md,9,75,0.02163,0.02,nc,nc73281815,2019-09-27T11:32:02.810Z,"3km N of The Geysers, CA",earthquake,0.24,1.19,0.15,2,automatic,nc,nc
2019-09-27T10:28:36.420Z,38.8035011,-122.7583313,0.63,0.54,md,6,140,0.02061,0.02,nc,nc73281810,2019-09-27T11:32:03.714Z,"3km N of The Geysers, CA",earthquake,0.57,2.24,0.02,2,automatic,nc,nc
2019-09-27T10:27:52.230Z,38.7996674,-122.7573318,0.47,1.48,md,19,54,0.02274,0.04,nc,nc73281805,2019-09-27T11:22:02.754Z,"2km N of The Geysers, CA",earthquake,0.19,0.44,0.13,7,automatic,nc,nc
2019-09-27T10:25:14.617Z,63.3108,-145.3459,7.1,0.9,ml,,,,0.4,ak,ak019cep7fet,2019-09-27T10:29:07.779Z,"62km S of Deltana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-09-27T10:22:02.870Z,36.8541679,-121.5196686,5,1.34,md,14,170,0.03785,0.05,nc,nc73281795,2019-09-27T11:01:03.618Z,"2km ENE of San Juan Bautista, CA",earthquake,0.38,0.57,0.16,11,automatic,nc,nc
2019-09-27T10:20:14.270Z,19.1494999,-155.4538269,33.37,1.91,md,39,175,0.1025,0.13,hv,hv71152601,2019-09-27T10:23:41.300Z,"6km SSE of Pahala, Hawaii",earthquake,0.72,0.83,0.5,3,automatic,hv,hv
2019-09-27T10:17:15.940Z,38.8146667,-122.8284988,2.56,0.61,md,12,60,0.005814,0.02,nc,nc73281790,2019-09-27T10:50:03.777Z,"8km WNW of The Geysers, CA",earthquake,0.31,0.98,0.36,2,automatic,nc,nc
2019-09-27T10:08:31.710Z,38.833168,-122.800499,1.99,0.56,md,9,95,0.009502,0.02,nc,nc73281780,2019-09-27T12:34:03.329Z,"7km W of Cobb, CA",earthquake,0.42,1.03,,1,automatic,nc,nc
2019-09-27T10:04:24.386Z,61.5193,-149.8992,40.4,1.2,ml,,,,0.76,ak,ak019cep2y4n,2019-09-27T10:08:23.836Z,"2km E of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-09-27T10:02:44.860Z,33.9721667,-117.2181667,11.08,1.68,ml,70,36,0.0451,0.21,ci,ci39096592,2019-09-27T10:13:44.190Z,"5km N of Moreno Valley, CA",earthquake,0.19,0.38,0.202,25,automatic,ci,ci
2019-09-27T09:57:25.890Z,33.7273333,-116.8371667,14.85,0.51,ml,16,213,0.08264,0.13,ci,ci39096584,2019-09-27T10:01:13.134Z,"6km ESE of Valle Vista, CA",earthquake,0.79,0.61,0.152,13,automatic,ci,ci
2019-09-27T09:56:30.678Z,61.5378,-149.9303,31.7,1.1,ml,,,,0.56,ak,ak019ceoso8f,2019-09-27T09:59:31.663Z,"2km NE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-09-27T09:56:29.290Z,38.3483,-118.9153,5,1.3,ml,8,166.65,0.336,0.11,nn,nn00705561,2019-09-27T10:04:23.423Z,"29km ENE of Bridgeport, California",earthquake,,12.7,,,automatic,nn,nn
2019-09-27T09:54:57.700Z,38.8371658,-122.7926636,1.93,0.56,md,7,109,0.002196,0.01,nc,nc73281775,2019-09-27T10:29:02.626Z,"6km WNW of Cobb, CA",earthquake,0.55,1.59,,1,automatic,nc,nc
2019-09-27T09:42:00.430Z,35.6673333,-117.4298333,2.73,1.74,ml,26,86,0.005474,0.2,ci,ci39096568,2019-09-27T09:45:59.932Z,"11km SSW of Searles Valley, CA",earthquake,0.28,0.41,0.199,26,automatic,ci,ci
2019-09-27T09:40:34.150Z,35.669,-117.4431667,4.11,1.03,ml,14,128,0.01633,0.12,ci,ci39096560,2019-09-27T09:44:20.922Z,"12km SSW of Searles Valley, CA",earthquake,0.28,0.51,0.233,11,automatic,ci,ci
2019-09-27T09:35:54.450Z,37.6414986,-118.9404984,5.11,0.9,md,9,101,0.02451,0.01,nc,nc73281765,2019-09-27T10:07:04.511Z,"3km E of Mammoth Lakes, CA",earthquake,0.77,3.06,0.1,9,automatic,nc,nc
2019-09-27T09:17:42.710Z,37.6458321,-118.9481659,5.64,0.68,md,8,123,0.02125,0.01,nc,nc73281750,2019-09-27T09:56:03.438Z,"3km ENE of Mammoth Lakes, CA",earthquake,1.24,1.85,0.22,8,automatic,nc,nc
2019-09-27T09:17:03.950Z,37.6433334,-118.949501,4.87,1.73,md,18,65,0.02395,0.02,nc,nc73281740,2019-09-27T11:41:04.762Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.4,0.69,0.18,18,automatic,nc,nc
2019-09-27T09:16:04.319Z,54.3171,-161.1543,10,3.9,mb,,202,1.046,0.91,us,us70005mbg,2019-09-27T10:43:00.040Z,"115km WSW of Chernabura Island, Alaska",earthquake,5.8,2,0.092,31,reviewed,us,us
2019-09-27T09:10:56.330Z,38.8144989,-122.822998,3.34,0.58,md,14,68,0.007411,0.01,nc,nc73281735,2019-09-27T11:14:02.704Z,"7km NW of The Geysers, CA",earthquake,0.31,0.94,0.02,3,automatic,nc,nc
2019-09-27T09:10:19.208Z,60.147,-139.5022,2,1.1,ml,,,,0.32,ak,ak019ceoisf4,2019-09-27T09:13:13.655Z,"68km N of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-09-27T09:06:32.510Z,35.6336667,-117.4691667,5.3,1.8,ml,26,57,0.039,0.15,ci,ci39096552,2019-09-27T09:10:28.717Z,"16km SSW of Searles Valley, CA",earthquake,0.21,0.31,0.175,26,automatic,ci,ci
2019-09-27T09:04:26.560Z,35.6808333,-117.5458333,6.25,0.93,ml,13,123,0.06165,0.15,ci,ci39096544,2019-09-27T09:08:09.619Z,"14km ENE of Ridgecrest, CA",earthquake,0.39,1.23,0.116,10,automatic,ci,ci
